global_idx,theme,length,strategy,rep3,distinct2
0,News,50,greedy,0.4791666666666667,0.46938775510204084
0,News,100,greedy,0.7448979591836735,0.23232323232323232
0,News,200,greedy,0.8737373737373737,0.11557788944723618
1,News,50,greedy,0.0,1.0
1,News,100,greedy,0.01020408163265306,0.9797979797979798
1,News,200,greedy,0.010101010101010102,0.949748743718593
2,News,50,greedy,0.3333333333333333,0.6122448979591837
2,News,100,greedy,0.673469387755102,0.30303030303030304
2,News,200,greedy,0.8383838383838383,0.1507537688442211
3,News,50,greedy,0.0625,0.8775510204081632
3,News,100,greedy,0.061224489795918366,0.8787878787878788
3,News,200,greedy,0.47474747474747475,0.47738693467336685
4,Narrative,50,greedy,0.6666666666666666,0.2857142857142857
4,Narrative,100,greedy,0.8367346938775511,0.1414141414141414
4,Narrative,200,greedy,0.9191919191919192,0.07035175879396985
5,Narrative,50,greedy,0.3958333333333333,0.5510204081632653
5,Narrative,100,greedy,0.7040816326530612,0.2727272727272727
5,Narrative,200,greedy,0.8535353535353535,0.135678391959799
6,Narrative,50,greedy,0.16666666666666666,0.7959183673469388
6,Narrative,100,greedy,0.19387755102040816,0.7272727272727273
6,Narrative,200,greedy,0.48484848484848486,0.457286432160804
7,Narrative,50,greedy,0.5833333333333334,0.3877551020408163
7,Narrative,100,greedy,0.7959183673469388,0.1919191919191919
7,Narrative,200,greedy,0.898989898989899,0.09547738693467336
8,Science,50,greedy,0.16666666666666666,0.7755102040816326
8,Science,100,greedy,0.1836734693877551,0.7676767676767676
8,Science,200,greedy,0.4494949494949495,0.507537688442211
9,Science,50,greedy,0.0,1.0
9,Science,100,greedy,0.14285714285714285,0.8080808080808081
9,Science,200,greedy,0.5454545454545454,0.4221105527638191
10,Science,50,greedy,0.2916666666666667,0.673469387755102
10,Science,100,greedy,0.6530612244897959,0.3333333333333333
10,Science,200,greedy,0.8282828282828283,0.1658291457286432
11,Science,50,greedy,0.0,1.0
11,Science,100,greedy,0.10204081632653061,0.8484848484848485
11,Science,200,greedy,0.42424242424242425,0.5276381909547738
12,History,50,greedy,0.4375,0.4897959183673469
12,History,100,greedy,0.5816326530612245,0.3434343434343434
12,History,200,greedy,0.6717171717171717,0.25125628140703515
13,History,50,greedy,0.3541666666666667,0.5714285714285714
13,History,100,greedy,0.6836734693877551,0.2828282828282828
13,History,200,greedy,0.8434343434343434,0.1407035175879397
14,History,50,greedy,0.125,0.8163265306122449
14,History,100,greedy,0.5714285714285714,0.40404040404040403
14,History,200,greedy,0.7626262626262627,0.22110552763819097
15,History,50,greedy,0.2708333333333333,0.6938775510204082
15,History,100,greedy,0.4897959183673469,0.46464646464646464
15,History,200,greedy,0.7474747474747475,0.23115577889447236
16,Opinion,50,greedy,0.625,0.3673469387755102
16,Opinion,100,greedy,0.8163265306122449,0.18181818181818182
16,Opinion,200,greedy,0.9090909090909091,0.09045226130653267
17,Opinion,50,greedy,0.125,0.8367346938775511
17,Opinion,100,greedy,0.25510204081632654,0.696969696969697
17,Opinion,200,greedy,0.5606060606060606,0.4120603015075377
18,Opinion,50,greedy,0.020833333333333332,0.9591836734693877
18,Opinion,100,greedy,0.01020408163265306,0.9494949494949495
18,Opinion,200,greedy,0.4696969696969697,0.49246231155778897
19,Opinion,50,greedy,0.125,0.8163265306122449
19,Opinion,100,greedy,0.5714285714285714,0.40404040404040403
19,Opinion,200,greedy,0.7878787878787878,0.20100502512562815
0,News,50,top_p_avg,0.006944444444444444,0.9863945578231292
0,News,100,top_p_avg,0.006802721088435374,0.9562289562289562
0,News,200,top_p_avg,0.010204610204610205,0.9409889583974294
1,News,50,top_p_avg,0.006944444444444444,0.9727891156462585
1,News,100,top_p_avg,0.01020408163265306,0.9562289562289562
1,News,200,top_p_avg,0.040067340067340064,0.895580845403488
2,News,50,top_p_avg,0.006944444444444444,0.9727891156462585
2,News,100,top_p_avg,0.013605442176870748,0.9562289562289562
2,News,200,top_p_avg,0.01429986135868489,0.9447823914896119
3,News,50,top_p_avg,0.013888888888888888,0.9659863945578232
3,News,100,top_p_avg,0.02040816326530612,0.9563636363636364
3,News,200,top_p_avg,0.02868824297395726,0.9380904522613065
4,Narrative,50,top_p_avg,0.027777777777777776,0.9319727891156462
4,Narrative,100,top_p_avg,0.034013605442176874,0.9023569023569024
4,Narrative,200,top_p_avg,0.0707070707070707,0.8492462311557789
5,Narrative,50,top_p_avg,0.0,0.9795918367346937
5,Narrative,100,top_p_avg,0.044217687074829926,0.9158249158249158
5,Narrative,200,top_p_avg,0.04713804713804714,0.8944723618090452
6,Narrative,50,top_p_avg,0.0,0.9863945578231292
6,Narrative,100,top_p_avg,0.03061224489795918,0.936026936026936
6,Narrative,200,top_p_avg,0.052188552188552194,0.8944723618090453
7,Narrative,50,top_p_avg,0.041666666666666664,0.9183673469387754
7,Narrative,100,top_p_avg,0.04081632653061224,0.9124579124579125
7,Narrative,200,top_p_avg,0.04377104377104377,0.8961474036850922
8,Science,50,top_p_avg,0.006944444444444444,0.9659863945578232
8,Science,100,top_p_avg,0.01020408163265306,0.9494949494949495
8,Science,200,top_p_avg,0.025252525252525252,0.9279731993299833
9,Science,50,top_p_avg,0.041666666666666664,0.9251700680272109
9,Science,100,top_p_avg,0.034013605442176874,0.9191919191919192
9,Science,200,top_p_avg,0.037425537425537427,0.9089515373477557
10,Science,50,top_p_avg,0.0,0.9931972789115647
10,Science,100,top_p_avg,0.1530612244897959,0.8215488215488215
10,Science,200,top_p_avg,0.08754208754208755,0.8743718592964824
